STATE,NAME,POPESTIMATE2018
1,Alabama,4887871
2,Alaska,737438
4,Arizona,7171646
5,Arkansas,3013825
6,California,39557045
8,Colorado,5695564
9,Connecticut,3572665
10,Delaware,967171
11,"Washington, D.C.",702455
12,Florida,21299325
13,Georgia,10519475
15,Hawaii,1420491
16,Idaho,1754208
17,Illinois,12741080
18,Indiana,6691878
19,Iowa,3156145
20,Kansas,2911505
21,Kentucky,4468402
22,Louisiana,4659978
23,Maine,1338404
24,Maryland,6042718
25,Massachusetts,6902149
26,Michigan,9995915
27,Minnesota,5611179
28,Mississippi,2986530
29,Missouri,6126452
30,Montana,1062305
31,Nebraska,1929268
32,Nevada,3034392
33,New Hampshire,1356458
34,New Jersey,8908520
35,New Mexico,2095428
36,New York,19542209
37,North Carolina,10383620
38,North Dakota,760077
39,Ohio,11689442
40,Oklahoma,3943079
41,Oregon,4190713
42,Pennsylvania,12807060
44,Rhode Island,1057315
45,South Carolina,5084127
46,South Dakota,882235
47,Tennessee,6770010
48,Texas,28701845
49,Utah,3161105
50,Vermont,626299
51,Virginia,8517685
53,Washington,7535591
54,West Virginia,1805832
55,Wisconsin,5813568
56,Wyoming,577737
72,Puerto Rico,3195153
